Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.2481136225454072
75% Corpus,2,0.01,0.31,0.25473030961680765
75% Corpus,2,0.01,0.61,0.25689350057073834
75% Corpus,2,0.01,0.9099999999999999,0.26423484353366
75% Corpus,2,0.01,symmetric,0.25473030961680765
75% Corpus,2,0.31,0.01,0.25754435404957
75% Corpus,2,0.31,0.31,0.28161059305708325
75% Corpus,2,0.31,0.61,0.2689597561306825
75% Corpus,2,0.31,0.9099999999999999,0.28384594995682666
75% Corpus,2,0.31,symmetric,0.2583339641744766
75% Corpus,2,0.61,0.01,0.26118302814294886
75% Corpus,2,0.61,0.31,0.26646546969933615
75% Corpus,2,0.61,0.61,0.2829581533824569
75% Corpus,2,0.61,0.9099999999999999,0.2791136005332834
75% Corpus,2,0.61,symmetric,0.29355597124055477
75% Corpus,2,0.9099999999999999,0.01,0.25359381694406213
75% Corpus,2,0.9099999999999999,0.31,0.2725613219145332
75% Corpus,2,0.9099999999999999,0.61,0.27658829284161895
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.28837341336107625
75% Corpus,2,0.9099999999999999,symmetric,0.27346301387567146
75% Corpus,2,symmetric,0.01,0.26194468368053553
75% Corpus,2,symmetric,0.31,0.28837341336107625
75% Corpus,2,symmetric,0.61,0.283792223321117
75% Corpus,2,symmetric,0.9099999999999999,0.2868736174912024
75% Corpus,2,symmetric,symmetric,0.2868736174912024
75% Corpus,2,asymmetric,0.01,0.3409201539714103
75% Corpus,2,asymmetric,0.31,0.36124464257381794
75% Corpus,2,asymmetric,0.61,0.3655519582348462
75% Corpus,2,asymmetric,0.9099999999999999,0.37771138857304853
75% Corpus,2,asymmetric,symmetric,0.3655519582348463
75% Corpus,3,0.01,0.01,0.42708151717291837
75% Corpus,3,0.01,0.31,0.440897594275466
75% Corpus,3,0.01,0.61,0.3911069284791268
75% Corpus,3,0.01,0.9099999999999999,0.44150558658617917
75% Corpus,3,0.01,symmetric,0.391859843061348
75% Corpus,3,0.31,0.01,0.4489441345552094
75% Corpus,3,0.31,0.31,0.4018421217249866
75% Corpus,3,0.31,0.61,0.41172217054920296
75% Corpus,3,0.31,0.9099999999999999,0.46916071935771414
75% Corpus,3,0.31,symmetric,0.38374568702252043
75% Corpus,3,0.61,0.01,0.43508009697599914
75% Corpus,3,0.61,0.31,0.46151277975065064
75% Corpus,3,0.61,0.61,0.45782467095454243
75% Corpus,3,0.61,0.9099999999999999,0.4499600478798205
75% Corpus,3,0.61,symmetric,0.4497402818644783
75% Corpus,3,0.9099999999999999,0.01,0.4726530165699013
75% Corpus,3,0.9099999999999999,0.31,0.463450563590794
75% Corpus,3,0.9099999999999999,0.61,0.46883102988277664
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.4582288438862217
75% Corpus,3,0.9099999999999999,symmetric,0.4634505635907941
75% Corpus,3,symmetric,0.01,0.43820196202763
75% Corpus,3,symmetric,0.31,0.3448182147344719
75% Corpus,3,symmetric,0.61,0.40905824702515226
75% Corpus,3,symmetric,0.9099999999999999,0.47289312789382204
75% Corpus,3,symmetric,symmetric,0.3599417311449516
75% Corpus,3,asymmetric,0.01,0.44055482221592596
75% Corpus,3,asymmetric,0.31,0.33949869971010666
75% Corpus,3,asymmetric,0.61,0.37226010454499775
75% Corpus,3,asymmetric,0.9099999999999999,0.406217126976309
75% Corpus,3,asymmetric,symmetric,0.3741801229435109
75% Corpus,4,0.01,0.01,0.44708295730331366
75% Corpus,4,0.01,0.31,0.38905122210665893
75% Corpus,4,0.01,0.61,0.373005665092445
75% Corpus,4,0.01,0.9099999999999999,0.45034416665058863
75% Corpus,4,0.01,symmetric,0.40117107484476533
75% Corpus,4,0.31,0.01,0.4579498904972277
75% Corpus,4,0.31,0.31,0.41886922363298745
75% Corpus,4,0.31,0.61,0.4533334511574563
75% Corpus,4,0.31,0.9099999999999999,0.4576293579459063
75% Corpus,4,0.31,symmetric,0.4427635810248982
75% Corpus,4,0.61,0.01,0.49057591181190074
75% Corpus,4,0.61,0.31,0.4734467013475009
75% Corpus,4,0.61,0.61,0.4506280951331315
75% Corpus,4,0.61,0.9099999999999999,0.4777341413628977
75% Corpus,4,0.61,symmetric,0.4826525647439275
75% Corpus,4,0.9099999999999999,0.01,0.5063217709458171
75% Corpus,4,0.9099999999999999,0.31,0.5001365489126853
75% Corpus,4,0.9099999999999999,0.61,0.47481741781536113
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.4893362734593264
75% Corpus,4,0.9099999999999999,symmetric,0.5214467760256202
75% Corpus,4,symmetric,0.01,0.4402990548678074
75% Corpus,4,symmetric,0.31,0.42264944391630654
75% Corpus,4,symmetric,0.61,0.4460033217493634
75% Corpus,4,symmetric,0.9099999999999999,0.4130935235384582
75% Corpus,4,symmetric,symmetric,0.4250133803742176
75% Corpus,4,asymmetric,0.01,0.4608461226767967
75% Corpus,4,asymmetric,0.31,0.37481460574874814
75% Corpus,4,asymmetric,0.61,0.47583298699595666
75% Corpus,4,asymmetric,0.9099999999999999,0.4935892007655807
75% Corpus,4,asymmetric,symmetric,0.35425315963048537
75% Corpus,5,0.01,0.01,0.4307713032315751
75% Corpus,5,0.01,0.31,0.44560176879339936
75% Corpus,5,0.01,0.61,0.3702487624137843
75% Corpus,5,0.01,0.9099999999999999,0.3894272873640225
75% Corpus,5,0.01,symmetric,0.435745503928488
75% Corpus,5,0.31,0.01,0.45237710521007657
75% Corpus,5,0.31,0.31,0.4024208771527323
75% Corpus,5,0.31,0.61,0.3891904671986174
75% Corpus,5,0.31,0.9099999999999999,0.38781535249522
75% Corpus,5,0.31,symmetric,0.44616883325557744
75% Corpus,5,0.61,0.01,0.45408323547048174
75% Corpus,5,0.61,0.31,0.4701484080635659
75% Corpus,5,0.61,0.61,0.47697961785160226
75% Corpus,5,0.61,0.9099999999999999,0.45278672278257004
75% Corpus,5,0.61,symmetric,0.49293331228567994
75% Corpus,5,0.9099999999999999,0.01,0.5044508414323579
75% Corpus,5,0.9099999999999999,0.31,0.4935004807880195
75% Corpus,5,0.9099999999999999,0.61,0.4910946737903785
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.5090462859398898
75% Corpus,5,0.9099999999999999,symmetric,0.4750976068221508
75% Corpus,5,symmetric,0.01,0.4400887552192446
75% Corpus,5,symmetric,0.31,0.4350849260842683
75% Corpus,5,symmetric,0.61,0.413195726608906
75% Corpus,5,symmetric,0.9099999999999999,0.4169963288496524
75% Corpus,5,symmetric,symmetric,0.4388557035350802
75% Corpus,5,asymmetric,0.01,0.4672934311885285
75% Corpus,5,asymmetric,0.31,0.4360519781708779
75% Corpus,5,asymmetric,0.61,0.45657503417961876
75% Corpus,5,asymmetric,0.9099999999999999,0.345090882028514
75% Corpus,5,asymmetric,symmetric,0.44134904646793427
75% Corpus,6,0.01,0.01,0.4097683057254516
75% Corpus,6,0.01,0.31,0.41705483292615136
75% Corpus,6,0.01,0.61,0.4544723522970906
75% Corpus,6,0.01,0.9099999999999999,0.4211001539482049
75% Corpus,6,0.01,symmetric,0.44705852635736437
75% Corpus,6,0.31,0.01,0.4798019713090689
75% Corpus,6,0.31,0.31,0.3949391946396041
75% Corpus,6,0.31,0.61,0.3809596822031778
75% Corpus,6,0.31,0.9099999999999999,0.3793307557670569
75% Corpus,6,0.31,symmetric,0.44961334755786986
75% Corpus,6,0.61,0.01,0.5150810599871017
75% Corpus,6,0.61,0.31,0.46383663852591533
75% Corpus,6,0.61,0.61,0.4510916707233031
75% Corpus,6,0.61,0.9099999999999999,0.4442934876190505
75% Corpus,6,0.61,symmetric,0.46549940803833884
75% Corpus,6,0.9099999999999999,0.01,0.5108816366762331
75% Corpus,6,0.9099999999999999,0.31,0.4823090571470929
75% Corpus,6,0.9099999999999999,0.61,0.4666182353575697
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.4845011869009972
75% Corpus,6,0.9099999999999999,symmetric,0.47281422783784666
75% Corpus,6,symmetric,0.01,0.4261119080638276
75% Corpus,6,symmetric,0.31,0.3904868663242315
75% Corpus,6,symmetric,0.61,0.4350152118041684
75% Corpus,6,symmetric,0.9099999999999999,0.42099934151948953
75% Corpus,6,symmetric,symmetric,0.43893679750681863
75% Corpus,6,asymmetric,0.01,0.40853071681149694
75% Corpus,6,asymmetric,0.31,0.45611869642926894
75% Corpus,6,asymmetric,0.61,0.47510058258249827
75% Corpus,6,asymmetric,0.9099999999999999,0.46544338894261333
75% Corpus,6,asymmetric,symmetric,0.43206738677120055
75% Corpus,7,0.01,0.01,0.4148115025055757
75% Corpus,7,0.01,0.31,0.4216760058801374
75% Corpus,7,0.01,0.61,0.3512001294867159
75% Corpus,7,0.01,0.9099999999999999,0.3573664686599151
75% Corpus,7,0.01,symmetric,0.43204105044255353
75% Corpus,7,0.31,0.01,0.43712998080854976
75% Corpus,7,0.31,0.31,0.3947582647224997
75% Corpus,7,0.31,0.61,0.42908419032486955
75% Corpus,7,0.31,0.9099999999999999,0.4314028566188239
75% Corpus,7,0.31,symmetric,0.40045777982621633
75% Corpus,7,0.61,0.01,0.4821119169709946
75% Corpus,7,0.61,0.31,0.4693804501967754
75% Corpus,7,0.61,0.61,0.4783818718734723
75% Corpus,7,0.61,0.9099999999999999,0.4670494211641252
75% Corpus,7,0.61,symmetric,0.4717431940104771
75% Corpus,7,0.9099999999999999,0.01,0.48768381600341787
75% Corpus,7,0.9099999999999999,0.31,0.4904292745774792
75% Corpus,7,0.9099999999999999,0.61,0.48459756297866313
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.48343068327494815
75% Corpus,7,0.9099999999999999,symmetric,0.44684575386020636
75% Corpus,7,symmetric,0.01,0.404406546182805
75% Corpus,7,symmetric,0.31,0.413366689039455
75% Corpus,7,symmetric,0.61,0.38847205610548025
75% Corpus,7,symmetric,0.9099999999999999,0.40402699368333234
75% Corpus,7,symmetric,symmetric,0.4083243459890372
75% Corpus,7,asymmetric,0.01,0.4381668756179827
75% Corpus,7,asymmetric,0.31,0.48422072314661124
75% Corpus,7,asymmetric,0.61,0.44689868296223473
75% Corpus,7,asymmetric,0.9099999999999999,0.46349914273646664
75% Corpus,7,asymmetric,symmetric,0.42142530274307255
75% Corpus,8,0.01,0.01,0.41269148682864004
75% Corpus,8,0.01,0.31,0.4253053613553107
75% Corpus,8,0.01,0.61,0.4937278737706301
75% Corpus,8,0.01,0.9099999999999999,0.4893968726170493
75% Corpus,8,0.01,symmetric,0.3859876264539853
75% Corpus,8,0.31,0.01,0.4363807962403481
75% Corpus,8,0.31,0.31,0.4099699785494484
75% Corpus,8,0.31,0.61,0.42310794789773765
75% Corpus,8,0.31,0.9099999999999999,0.45840761927964624
75% Corpus,8,0.31,symmetric,0.42331842179637735
75% Corpus,8,0.61,0.01,0.46382418022398114
75% Corpus,8,0.61,0.31,0.4671810191587226
75% Corpus,8,0.61,0.61,0.4758488471183123
75% Corpus,8,0.61,0.9099999999999999,0.41310863370450546
75% Corpus,8,0.61,symmetric,0.4586765131624767
75% Corpus,8,0.9099999999999999,0.01,0.46591450956300196
75% Corpus,8,0.9099999999999999,0.31,0.5140687638485325
75% Corpus,8,0.9099999999999999,0.61,0.4837943062329247
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.4462046114088437
75% Corpus,8,0.9099999999999999,symmetric,0.45729858525331224
75% Corpus,8,symmetric,0.01,0.40938075301155696
75% Corpus,8,symmetric,0.31,0.40732017182560964
75% Corpus,8,symmetric,0.61,0.4098291076708982
75% Corpus,8,symmetric,0.9099999999999999,0.4335328076502808
75% Corpus,8,symmetric,symmetric,0.39259844263095917
75% Corpus,8,asymmetric,0.01,0.42945458686567367
75% Corpus,8,asymmetric,0.31,0.4371909330704962
75% Corpus,8,asymmetric,0.61,0.45622973268384237
75% Corpus,8,asymmetric,0.9099999999999999,0.45957482917373504
75% Corpus,8,asymmetric,symmetric,0.4400133931045287
75% Corpus,9,0.01,0.01,0.393360695107858
75% Corpus,9,0.01,0.31,0.4199106068584639
75% Corpus,9,0.01,0.61,0.39130799131081356
75% Corpus,9,0.01,0.9099999999999999,0.42365248233007685
75% Corpus,9,0.01,symmetric,0.36557741063272764
75% Corpus,9,0.31,0.01,0.4205003932031522
75% Corpus,9,0.31,0.31,0.4251298477301355
75% Corpus,9,0.31,0.61,0.4033361303664061
75% Corpus,9,0.31,0.9099999999999999,0.41495152072201297
75% Corpus,9,0.31,symmetric,0.42671515935281307
75% Corpus,9,0.61,0.01,0.4738204877646678
75% Corpus,9,0.61,0.31,0.4683184424692823
75% Corpus,9,0.61,0.61,0.4650032355420499
75% Corpus,9,0.61,0.9099999999999999,0.3961084866217485
75% Corpus,9,0.61,symmetric,0.43334834809476735
75% Corpus,9,0.9099999999999999,0.01,0.4559744570975545
75% Corpus,9,0.9099999999999999,0.31,0.4595169397468733
75% Corpus,9,0.9099999999999999,0.61,0.4635224627304614
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.3705620471105832
75% Corpus,9,0.9099999999999999,symmetric,0.4483594007032624
75% Corpus,9,symmetric,0.01,0.4229746535090505
75% Corpus,9,symmetric,0.31,0.3651330473604457
75% Corpus,9,symmetric,0.61,0.4157843935584985
75% Corpus,9,symmetric,0.9099999999999999,0.4318118979395492
75% Corpus,9,symmetric,symmetric,0.3935596119459167
75% Corpus,9,asymmetric,0.01,0.42084848715423423
75% Corpus,9,asymmetric,0.31,0.38427579525188155
75% Corpus,9,asymmetric,0.61,0.40744127519060785
75% Corpus,9,asymmetric,0.9099999999999999,0.4113994109927372
75% Corpus,9,asymmetric,symmetric,0.4216090620190822
75% Corpus,10,0.01,0.01,0.44133314622324066
75% Corpus,10,0.01,0.31,0.41884652927131405
75% Corpus,10,0.01,0.61,0.4517957220221044
75% Corpus,10,0.01,0.9099999999999999,0.4534490859159327
75% Corpus,10,0.01,symmetric,0.4225815161864518
75% Corpus,10,0.31,0.01,0.3886795577847843
75% Corpus,10,0.31,0.31,0.35675093215852927
75% Corpus,10,0.31,0.61,0.38379583279333074
75% Corpus,10,0.31,0.9099999999999999,0.39947529079166527
75% Corpus,10,0.31,symmetric,0.38442107476531434
75% Corpus,10,0.61,0.01,0.4556938051732253
75% Corpus,10,0.61,0.31,0.4568469090727222
75% Corpus,10,0.61,0.61,0.4086410109848053
75% Corpus,10,0.61,0.9099999999999999,0.4051563818130071
75% Corpus,10,0.61,symmetric,0.42686623624342046
75% Corpus,10,0.9099999999999999,0.01,0.42718572370561897
75% Corpus,10,0.9099999999999999,0.31,0.4176566079370847
75% Corpus,10,0.9099999999999999,0.61,0.42254344190573645
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.36383254106575447
75% Corpus,10,0.9099999999999999,symmetric,0.3989799954783983
75% Corpus,10,symmetric,0.01,0.40850186697161855
75% Corpus,10,symmetric,0.31,0.41685984430379613
75% Corpus,10,symmetric,0.61,0.404909710042132
75% Corpus,10,symmetric,0.9099999999999999,0.4393119334837753
75% Corpus,10,symmetric,symmetric,0.4007903798602401
75% Corpus,10,asymmetric,0.01,0.4236802016836605
75% Corpus,10,asymmetric,0.31,0.40686837555128685
75% Corpus,10,asymmetric,0.61,0.4212697211227625
75% Corpus,10,asymmetric,0.9099999999999999,0.41101634778066504
